definition_id,term,text,footnote_ids,requires_definitions,status
d-internet-interference,Internet Interference,"Deliberate disruptions or restriction of access to internet services or Digital communications. In this Handbook, Internet Interference includes Internet Shutdowns, Internet Infrastructure Attacks, and Throttling.",fn-62,d-digital|d-internet-shutdown|d-internet-infrastructure-attacks|d-throttling,published
d-internet-shutdown,Internet Shutdown,"An intentional disruption of internet or electronic communications, rendering the internet or electronic communications inaccessible or effectively unusable, for a specific population or within a specific location, often to exert control over the flow of information.",fn-63,,published
d-internet-infrastructure-attacks,Internet Infrastructure Attacks,"Physical or virtual acts directed against the technical infrastructure that enables the functioning, routing, or transmission of the internet or other Digital communications, including radio transmission towers, fibre-optic and undersea cables, satellites, internet exchange points, routing systems, and associated hardware or software, that are intended or reasonably expected to disrupt, degrade, disable, or manipulate connectivity or communication flows.",,d-digital,published
d-malware-malicious-software,Malware / Malicious Software,"Any software or code intentionally designed to or reasonably expected to disrupt, damage, degrade, or gain unauthorized access to a computer system, device, server Data, or network. Malware includes, but is not limited to, viruses, worms, Trojan horses, ransomware, Spyware, adware, and other forms of malicious code.",fn-64,d-data|d-spyware,published
d-military-objective,Military Objective,"An object is considered a Military Objective under International Humanitarian Law if, by its nature, location, purpose, or use, it makes an effective contribution to military action, and its destruction, capture, or neutralization offers a definite military advantage. For further clarification, see the definitions of Civilian Object and Dual-Use above.",fn-65,d-dual-use,published
d-misinformation,Misinformation,"False or misleading information shared without the intent to deceive. Such information, even when unintentional, can still cause civilian harm, undermine humanitarian efforts, or impede compliance with International Humanitarian Law.",fn-66,,published
d-online-incitement-to-violence,Online Incitement to Violence,"Any Digital communication, including on but not limited to social media platforms, websites, videos, forums, and messaging platforms that is intended to, and reasonably likely to, incite discrimination, hostility, or violence against individuals or groups. Online speech is assessed using the Rabat Plan of Action six-part threshold test (context, speaker, intent, content, extent, likelihood of harm) to determine whether it qualifies as incitement to violence.",fn-67,d-digital,published
d-online-advertisement,Online Advertisement,"Paid or sponsored Digital content distributed through internet platforms to promote messages, influence perceptions, or shape behavior. Online Advertisements may be used to distribute or amplify harmful information.",,d-digital,published
d-online-recruitment,Online Recruitment,"The use of Digital platforms by Parties to enlist, recruit, or solicit individuals for participation in the Armed Conflict, Grey Zone Activity, or Internal Disturbance.",,d-digital|d-armed-conflict|d-grey-zone|d-internal-disturbance,published
d-phishing,Phishing,"A form of Cyber Operation whereby the attacker uses deceptive communications, often emails, websites, or messages, to trick individuals to disclose confidential information, provide access to credentials, or install Malicious Software.",fn-68,d-cyber-operation,published
d-prohibited-digital-operations,Prohibited Digital Operations,"Digital acts, which can be carried out in Armed Conflict, Grey Zone Activity, and Internal Disturbance, that the Parties agree to cease for the purposes of this Agreement.",,d-digital|d-armed-conflict|d-grey-zone|d-internal-disturbance,published
d-proxy-actors,Proxy Actors,"Third-party State, non-State, or quasi-State groups or individuals that are supported – politically, financially, and/or militarily – by a Party to advance their strategic objectives, often allowing the Proxy Actor to influence the conflict without becoming a Party. The conduct of Proxy Actors may be attributable to a State in accordance with applicable rules of international law.",fn-69|fn-70,,published
d-public-core,Public Core,"Critical, foundational infrastructure that enables the global internet to function reliably and securely, including packet routing and forwarding, naming and numbering systems, cryptographic mechanisms of security and identity, and physical transmission media.",fn-71,,published
d-spyware,Spyware,"Malicious software designed to covertly access or compromise a person’s device in order to monitor, collect, or intercept Data, communications, or metadata relating to that person or their networks, without their knowledge or consent.",,d-data,published
d-surveillance,Surveillance,"Monitoring, collection, interception, retention, or analysis of Data or communications relating to a person, group, or system, by Digital or electronic means, whether targeted or indiscriminate, for purposes of intelligence gathering, security, control, influence, or operational advantage.",fn-72,d-data|d-digital,published
d-third-party,Third Party,"Any State, organization, company, Proxy Actor, or other entity that is not a principal party to the Armed Conflict, Grey Zone Activity, or Internal Disturbance but intervenes, often indirectly, to influence its outcome by supporting, assisting, participating in, enabling, or otherwise becoming involved with a Party. Third Parties can provide resources like arms, funding, training, personnel, or other Digital capabilities.",fn-73,d-armed-conflict|d-grey-zone|d-internal-disturbance|d-digital,published
d-throttling,Throttling,"Intentional technical measures used to reduce the speed, capacity, or reliability of Digital communications networks or services, thereby impairing users’ ability to access or transmit information.",,d-digital,published
